time,open,high,low,close,volume
2021-01-04,33053.93,42125.51,27800.0,38221.67,3119739.273
2021-01-11,38200.01,40189.39,30448.0,35869.83,3133070.537
2021-01-18,35875.72,37961.0,28880.0,32275.63,2313482.811
2021-01-25,32274.88,38641.1,29240.0,33126.21,2598835.991
2021-02-01,33125.11,40992.4,32322.47,38849.25,1831337.339
2021-02-08,38849.24,49875.16,38037.0,48655.21,2188250.932
2021-02-15,48655.21,58472.14,45349.21,57487.43,1785078.516
2021-02-22,57475.5,57591.87,43002.05,45163.36,2979807.695
2021-03-01,45162.64,52681.51,44972.49,50995.27,2144594.339
2021-03-08,50991.35,61950.0,49310.0,59037.12,2247594.591
2021-03-15,59037.11,60740.0,53335.0,57415.18,2133275.094
2021-03-22,57415.19,58500.0,50452.08,55805.08,2087279.561
2021-03-29,55804.16,60397.85,54931.15,58234.61,1583892.047
2021-04-05,58234.61,61800.0,55536.07,60090.2,1297659.8
2021-04-12,60093.26,64986.11,50050.0,56140.05,1949480.599
2021-04-19,56140.05,57532.7,46930.43,49063.94,2480262.616
2021-04-26,49063.94,58488.17,48763.0,56630.33,1842400.922
2021-05-03,56630.34,59590.96,52880.38,58292.53,2021025.882
2021-05-10,58292.53,59654.0,43866.0,46429.28,3153899.206
2021-05-17,46429.28,46655.0,28688.0,34651.6,6064178.467
2021-05-24,34656.53,40900.0,33356.0,35651.81,4505211.854
2021-05-31,35651.8,39470.0,34150.0,35801.71,3950308.85
2021-06-07,35801.71,39374.18,30969.0,38993.65,5304319.373
2021-06-14,38993.66,41413.0,33312.0,35588.64,4876593.304
2021-06-21,35588.63,35746.28,28780.01,34687.71,7746338.623
2021-06-28,34687.71,36623.0,32672.04,35280.16,4617547.366
2021-07-05,35280.17,35281.55,32066.0,34253.81,3727312.197
2021-07-12,34253.88,34662.73,31018.59,31767.0,3380985.11
2021-07-19,31765.23,35400.0,29242.24,35370.66,3458141.031
2021-07-26,35370.67,48168.6,35185.49,39846.78,4468076.372
2021-08-02,39846.78,45350.0,37291.0,43787.71,3985788.573
2021-08-09,43787.71,48300.0,42785.0,47006.02,3128981.054
2021-08-16,47006.02,49833.0,43938.38,49273.28,2765858.08
2021-08-23,49273.28,50600.0,46280.0,48795.41,2560264.54
2021-08-30,48795.42,51950.0,46550.99,51799.57,2423617.744
2021-09-06,51799.56,52950.0,42088.0,46046.73,2567904.998
2021-09-13,46048.02,48850.0,43323.93,47256.91,1877864.572
2021-09-20,47256.92,47345.0,39503.58,43150.0,3255184.139
2021-09-27,43150.01,49304.12,40708.73,48187.3,2172018.51
2021-10-04,48187.99,56789.0,46885.29,54700.0,2031953.189
2021-10-11,54700.0,63997.61,53750.0,61571.45,2193200.82
2021-10-18,61571.45,67150.0,59504.46,60902.82,2334600.351
2021-10-25,60902.82,63795.98,57550.0,61348.61,1706890.356
2021-11-01,61347.14,64349.55,59400.0,63316.4,1314984.648
2021-11-08,63316.4,69198.7,62313.0,65568.39,1568358.347
2021-11-15,65568.38,66395.05,55604.0,58661.39,1947403.587
2021-11-22,58648.87,59624.56,53245.0,57315.73,1727942.267
2021-11-29,57315.72,59224.99,40888.89,49376.6,2336021.36
2021-12-06,49373.83,51929.0,46724.35,50057.01,1791066.323
2021-12-13,50057.02,50180.0,45373.11,46668.63,1935042.118
2021-12-20,46668.65,51805.0,45530.67,50765.73,1550833.565
2021-12-27,50765.73,52134.0,45650.0,47280.0,1708449.949
2022-01-03,47280.01,47575.22,40456.56,41851.22,2302005.988
2022-01-10,41851.22,44396.68,39610.0,43060.66,1982649.99
2022-01-17,43060.66,43495.0,33950.0,36230.01,3069957.673
2022-01-24,36230.0,38886.58,32853.83,37870.01,3010196.557
2022-01-31,37870.0,42656.8,36204.3,42361.35,2305635.465
2022-02-07,42361.34,45847.5,41540.0,42041.13,2613244.862
2022-02-14,42041.12,44777.0,37905.0,38368.1,2163520.526
2022-02-21,38367.9,40441.1,34303.7,37672.0,3530988.288
2022-02-28,37672.1,45350.0,37414.4,38401.1,2816635.887
2022-03-07,38401.1,42647.5,37134.0,37743.7,2770619.291
2022-03-14,37743.0,42446.6,37522.1,41261.0,2321024.582
2022-03-21,41261.0,47047.0,40430.0,46820.8,2055378.868
2022-03-28,46820.9,48200.0,44206.2,46392.4,1911191.042
2022-04-04,46392.3,47188.0,41838.0,42140.4,1755971.488
2022-04-11,42140.3,42399.9,39136.7,39649.1,1869008.525
2022-04-18,39649.1,42966.0,38465.7,39433.4,1847726.305
2022-04-25,39433.4,40800.0,37350.0,38440.5,2427675.083
2022-05-02,38440.2,40071.7,33665.0,34032.0,2616656.062
2022-05-09,34032.1,34243.3,26631.0,31324.4,5168460.373
2022-05-16,31324.3,31327.4,28629.6,30284.0,2766784.566
2022-05-23,30284.0,30658.0,27952.1,29452.8,2788864.87
2022-05-30,29452.6,32427.5,29220.0,29909.9,2564334.626
2022-06-06,29910.0,31780.0,26538.7,26564.7,3289367.275
2022-06-13,26564.7,26877.0,17593.2,20564.2,8396087.064
2022-06-20,20564.3,21888.0,19630.0,21029.1,4756283.26
2022-06-27,21029.1,21560.0,18563.0,19305.9,4338897.741
2022-07-04,19306.0,22579.9,19046.3,20853.8,4579160.528
2022-07-11,20853.8,21674.1,18901.0,20794.4,4595242.695
2022-07-18,20794.4,24277.0,20764.4,22570.6,5379842.657
2022-07-25,22570.6,24700.0,20689.6,23290.1,4280513.414
2022-08-01,23290.1,23650.0,22370.0,23167.8,3334300.374
2022-08-08,23167.9,25065.0,22608.0,24294.1,3930706.635
2022-08-15,24294.1,25200.0,20742.9,21505.6,4010009.915
2022-08-22,21505.6,21925.6,19508.0,19547.5,3869473.632
2022-08-29,19547.5,20574.0,19524.4,19992.7,4120112.711
2022-09-05,19992.7,21883.4,18500.0,21820.3,4430120.521
2022-09-12,21820.3,22850.0,19300.0,19404.5,4744240.359
2022-09-19,19404.5,20154.1,18084.3,18799.7,5435481.218
2022-09-26,18799.7,20375.0,18460.0,19049.4,5992165.066
2022-10-03,19049.3,20500.0,18950.8,19430.0,4113950.007
2022-10-10,19430.0,19947.9,17917.8,19251.9,4046559.104
2022-10-17,19251.8,19706.4,18600.0,19560.7,3193205.908
2022-10-24,19560.6,21088.0,19146.0,20615.6,4083903.839
2022-10-31,20615.5,21473.7,20026.0,20900.0,3222777.508
2022-11-07,20900.0,21062.6,15462.6,16321.2,7773127.798
2022-11-14,16321.3,17188.0,15805.5,16272.6,3418007.843
2022-11-21,16272.7,16800.0,15443.2,16422.6,3016624.457
2022-11-28,16422.5,17348.5,15984.1,17099.5,2732312.307
2022-12-05,17099.5,17430.0,16655.0,17077.3,2184358.764
2022-12-12,17077.3,18400.0,16521.1,16730.3,3054017.016
2022-12-19,16730.4,17049.6,16210.0,16824.4,1846302.999
2022-12-26,16824.5,16968.0,16320.0,16610.3,1499794.263
2023-01-02,16610.4,17181.1,16541.2,17124.7,1497012.618
2023-01-09,17124.6,21544.0,17098.2,20882.7,4370171.12
2023-01-16,20882.7,23390.0,20386.0,22704.6,4372914.039
2023-01-23,22704.7,23962.7,22310.5,23740.3,3410315.53
2023-01-30,23740.2,24281.4,22484.2,22929.2,3188049.287
2023-02-06,22929.3,23450.0,21405.0,21771.1,2886217.725
2023-02-13,21771.0,25290.0,21338.0,24265.9,4622306.164
2023-02-20,24265.9,25347.6,22700.0,23545.3,4271213.808
2023-02-27,23545.2,24022.7,21883.2,22419.4,3136270.809
2023-03-06,22419.3,22594.5,19521.6,21986.2,5220379.048
2023-03-13,21986.2,28397.0,21804.0,27955.7,7785806.644
2023-03-20,27955.8,28881.0,26590.0,27954.3,4942784.889
2023-03-27,27954.3,29184.8,26480.0,28161.2,3839037.847
2023-04-03,28161.3,28800.0,27166.0,28309.4,2757907.413
2023-04-10,28309.4,31059.0,28153.6,30286.6,3214743.056
2023-04-17,30286.6,30480.0,27100.0,27576.0,3637217.423
2023-04-24,27575.9,30048.2,26919.3,29223.0,4471194.435
2023-05-01,29223.0,29840.0,27650.0,28419.4,3603937.292
2023-05-08,28419.5,28624.6,25751.0,26901.9,3393098.366
2023-05-15,26901.9,27650.0,26335.3,26732.8,2558862.959
2023-05-22,26732.8,28252.8,25850.0,28055.7,2555206.915
2023-05-29,28055.8,28442.0,26477.6,27102.4,2413685.061
2023-06-05,27102.4,27394.4,25300.0,25909.9,3597099.903
2023-06-12,25910.0,26900.0,24777.0,26329.7,2752951.035
